time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-05 09:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-05 09:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,330.9700012207031,151.0,0.0
2023-01-05 12:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-05 12:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,330.9700012207031,227.0,0.0
2023-01-05 15:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-05 15:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,330.9700012207031,340.0,0.0
2023-01-06 09:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-06 09:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,332.17999267578125,508.0,0.0
2023-01-06 12:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-06 12:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,332.17999267578125,762.0,0.0
2023-01-06 15:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-06 15:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,332.17999267578125,1143.0,0.0
2023-01-13 09:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-13 09:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,339.1600036621094,1679.0,0.0
2023-01-13 12:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-13 12:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,339.1600036621094,2519.0,0.0
2023-01-13 15:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-13 15:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,339.1600036621094,3778.0,0.0
2023-01-18 09:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-18 09:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,339.57000732421875,5661.0,0.0
2023-01-18 12:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-18 12:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,339.57000732421875,8491.0,0.0
2023-01-18 15:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-18 15:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,339.57000732421875,12737.0,0.0
2023-01-27 09:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,339.3999938964844,19099.0,0.0
2023-01-27 12:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-27 12:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,339.3999938964844,28648.0,0.0
2023-01-27 15:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-27 15:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,339.3999938964844,42972.0,0.0
2023-02-03 09:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-03 09:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,338.7699890136719,64578.0,0.0
2023-02-03 12:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-03 12:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,338.7699890136719,96867.0,0.0
2023-02-03 15:30:00-05:00,SentimentTrader,DIA,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-03 15:30:00-05:00,SentimentTrader,DIA,sell,market,fill,1,gtc,0.0,1,stock,338.7699890136719,145301.0,0.0
