datetime,portfolio_value,cash,return
2020-01-02 09:30:00-05:00,100000.0,100000.0,
2020-01-02 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-02 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-02 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-03 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-03 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-03 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-03 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-06 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-06 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-06 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-07 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-07 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-07 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-08 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-08 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-08 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-09 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-09 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-09 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-10 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-10 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-10 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-10 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-13 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-13 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-13 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-14 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-14 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-14 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-14 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-15 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-15 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-15 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-15 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-16 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-16 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-16 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-16 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-17 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-17 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-17 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-17 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-21 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-21 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-21 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-21 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-22 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-22 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-22 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-22 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-23 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-23 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-23 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-23 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-24 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-24 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-24 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-24 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-27 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-27 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-27 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-27 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-28 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-28 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-28 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-28 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-29 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-29 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-29 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-29 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-30 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-30 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-30 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-30 18:30:00-05:00,100000.0,100000.0,0.0
2020-01-31 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-31 12:30:00-05:00,100000.0,100000.0,0.0
2020-01-31 15:30:00-05:00,100000.0,100000.0,0.0
2020-01-31 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-03 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-03 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-03 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-03 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-04 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-04 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-04 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-04 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-05 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-05 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-05 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-05 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-06 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-06 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-06 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-06 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-07 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-07 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-07 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-07 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-10 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-10 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-10 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-10 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-11 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-11 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-11 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-11 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-12 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-12 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-12 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-12 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-13 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-13 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-13 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-13 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-14 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-14 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-14 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-14 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-18 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-18 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-18 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-18 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-19 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-19 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-19 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-19 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-20 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-20 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-20 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-20 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-21 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-21 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-21 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-21 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-24 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-24 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-24 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-24 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-25 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-25 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-25 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-25 18:30:00-05:00,100000.0,100000.0,0.0
2020-02-26 09:30:00-05:00,100000.0,100000.0,0.0
2020-02-26 12:30:00-05:00,100000.0,100000.0,0.0
2020-02-26 15:30:00-05:00,100000.0,100000.0,0.0
2020-02-26 18:30:00-05:00,100000.0,100000.0,0.0
